#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 734 SETNLE                      1084                0
 736 SETNP                       2195                0
 737 SETNS                          1                0
 738 SETNZ                       5406                0
 739 SETO                           3                0
 740 SETP                        2660                0
 741 SETS                           4                0
 743 SETZ                        7928                0
 744 SFENCE                         2                0
 753 SHL                        97749                0
 754 SHLD                         893                0
 755 SHLX                           1                0
 756 SHR                        21595                0
 757 SHRD                          42                0
 759 SHUFPD                      8373                0
 760 SHUFPS                     19605                0
 766 SQRTPD                         7                0
 767 SQRTPS                         4                0
 768 SQRTSD                      2338                0
 769 SQRTSS                      1541                0
 771 STC                            4                0
 772 STD                            2                0
 774 STI                            8                0
 775 STMXCSR                       79                0
 776 STOSB                         13                0
 777 STOSD                         10                0
 781 SUB                       269719                0
 782 SUBPD                      16404                0
 783 SUBPS                       9305                0
 784 SUBSD                      31765                0
 785 SUBSS                      29178                0
 786 SUB_LOCK                    1815                0
 788 SYSCALL                      589                0
 795 TEST                      488440                0
 796 TZCNT                         64                0
 798 UCOMISD                    29109                0
 799 UCOMISS                    19277                0
 802 UD2                          284                0
 803 UNPCKHPD                    1687                0
 804 UNPCKHPS                    1205                0
 805 UNPCKLPD                    1843                0
 806 UNPCKLPS                    2759                0
 811 VADDPD                      2525                0
 812 VADDPS                      8594                0
 813 VADDSD                      3900                0
 814 VADDSS                      1948                0
 815 VADDSUBPD                   2322                0
 816 VADDSUBPS                   3174                0
 820 VAESENCLAST                 1162                0
 825 VANDNPD                       13                0
 827 VANDPD                       508                0
 831 VBLENDPD                     144                0
 832 VBLENDPS                     144                0
 841 VBROADCASTI128               535                0
 847 VBROADCASTSD                4654                0
 848 VBROADCASTSS               48631                0
 851 VCMPSD                         9                0
 854 VCOMISS                        1                0
 867 VCVTPS2PH                      8                0
 876 VCVTSI2SD                     10                0
 877 VCVTSI2SS                      4                0
 889 VCVTTSD2SI                    16                0
 902 VDIVSD                        48                0
 912 VEXTRACTF128                 357                0
 917 VEXTRACTI128                 396                0
 931 VFMADD213PD                   52                0
 932 VFMADD213PS                   52                0
 933 VFMADD213SD                    1                0
 935 VFMADD231PD                18972                0
 936 VFMADD231PS                20728                0
 937 VFMADD231SD                  702                0
 938 VFMADD231SS                 4794                0
 939 VFMADDPD                   21451                0
 940 VFMADDPS                   24336                0
 941 VFMADDSD                    1573                0
 942 VFMADDSS                    4392                0
 973 VFMSUBSD                      32                0
 983 VFNMADD231PD                8160                0
 984 VFNMADD231PS                8976                0
 987 VFNMADDPD                   5128                0
 988 VFNMADDPS                   6656                0
 989 VFNMADDSD                    147                0
1038 VHADDPD                       65                0
1039 VHADDPS                      112                0
1042 VINSERTF128                   32                0
1047 VINSERTI128                  489                0
1054 VLDMXCSR                      14                0
1072 VMOVAPD                     4687                0
1073 VMOVAPS                      596                0
1074 VMOVD                         39                0
1075 VMOVDDUP                   25455                0
1076 VMOVDQA                     1046                0
1079 VMOVDQU                     1908                0
1085 VMOVHPD                      492                0
1088 VMOVLPD                      336                0
1089 VMOVLPS                        5                0
1096 VMOVQ                        321                0
1097 VMOVSD                     10772                0
1100 VMOVSS                     13743                0
1102 VMOVUPS                    49917                0
1110 VMULPD                      4974                0
1111 VMULPS                     13871                0
1112 VMULSD                      2325                0
1113 VMULSS                      2320                0
1117 VORPD                         89                0
1121 VPABSB                        96                0
1129 VPADDB                       106                0
1130 VPADDD                       519                0
1131 VPADDQ                       204                0
1136 VPADDW                        10                0
1137 VPALIGNR                      56                0
1138 VPAND                       2451                0
1140 VPANDN                      1586                0
1146 VPBLENDD                       6                0
1154 VPBROADCASTD                 828                0
1157 VPBROADCASTQ                  59                0
1164 VPCMPEQD                     521                0
1165 VPCMPEQQ                      80                0
1169 VPCMPGTB                      96                0
1199 VPERM2F128                   156                0
1200 VPERM2I128                    30                0
1211 VPERMILPD                    580                0
1212 VPERMILPS                    562                0
1213 VPERMPD                      916                0
1215 VPERMQ                        15                0
1232 VPGATHERDD                   512                0
1345 VPMULUDQ                      30                0
1350 VPOR                        1558                0
1391 VPSHUFB                     5215                0
1393 VPSHUFD                      295                0
1399 VPSLLD                      1232                0
1400 VPSLLDQ                      134                0
1401 VPSLLQ                       183                0
1405 VPSLLW                        10                0
1412 VPSRLD                      2950                0
1413 VPSRLDQ                      893                0
1414 VPSRLQ                       298                0
1418 VPSRLW                        30                0
1421 VPSUBQ                       192                0
