#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 741 SETS                           5                0
 743 SETZ                       10355                0
 744 SFENCE                        13                0
 753 SHL                       137444                0
 754 SHLD                         893                0
 755 SHLX                           3                0
 756 SHR                        46533                0
 757 SHRD                          45                0
 758 SHRX                           3                0
 759 SHUFPD                      8379                0
 760 SHUFPS                     20096                0
 763 SLDT                           1                0
 766 SQRTPD                         7                0
 767 SQRTPS                         7                0
 768 SQRTSD                      2477                0
 769 SQRTSS                      1606                0
 771 STC                            6                0
 772 STD                            3                0
 774 STI                            8                0
 775 STMXCSR                       79                0
 776 STOSB                         13                0
 777 STOSD                         10                0
 781 SUB                       351107                0
 782 SUBPD                      16410                0
 783 SUBPS                       9499                0
 784 SUBSD                      32909                0
 785 SUBSS                      29927                0
 786 SUB_LOCK                    1928                0
 788 SYSCALL                      593                0
 795 TEST                      563939                0
 796 TZCNT                        100                0
 798 UCOMISD                    29935                0
 799 UCOMISS                    19754                0
 802 UD2                          308                0
 803 UNPCKHPD                    1687                0
 804 UNPCKHPS                    1255                0
 805 UNPCKLPD                    1843                0
 806 UNPCKLPS                    2840                0
 811 VADDPD                      2561                0
 812 VADDPS                      8901                0
 813 VADDSD                      3900                0
 814 VADDSS                      1951                0
 815 VADDSUBPD                   2322                0
 816 VADDSUBPS                   3182                0
 820 VAESENCLAST                 1162                0
 825 VANDNPD                       13                0
 827 VANDPD                       508                0
 828 VANDPS                        15                0
 831 VBLENDPD                     144                0
 832 VBLENDPS                     149                0
 834 VBLENDVPS                      2                0
 841 VBROADCASTI128              4552                0
 847 VBROADCASTSD                4663                0
 848 VBROADCASTSS               48751                0
 850 VCMPPS                         5                0
 851 VCMPSD                         9                0
 852 VCMPSS                         2                0
 854 VCOMISS                        2                0
 857 VCVTDQ2PD                     84                0
 858 VCVTDQ2PS                     18                0
 865 VCVTPS2DQ                      2                0
 867 VCVTPS2PH                      8                0
 876 VCVTSI2SD                     13                0
 877 VCVTSI2SS                      5                0
 881 VCVTTPD2DQ                    30                0
 889 VCVTTSD2SI                    19                0
 900 VDIVPD                        18                0
 901 VDIVPS                         5                0
 902 VDIVSD                        48                0
 903 VDIVSS                         1                0
 912 VEXTRACTF128                 400                0
 917 VEXTRACTI128                6501                0
 918 VEXTRACTI32X4                  6                0
 919 VEXTRACTI32X8                  1                0
 922 VEXTRACTPS                    24                0
 931 VFMADD213PD                   52                0
 932 VFMADD213PS                   52                0
 933 VFMADD213SD                    1                0
 935 VFMADD231PD                18972                0
 936 VFMADD231PS                20790                0
 937 VFMADD231SD                  702                0
 938 VFMADD231SS                 4794                0
 939 VFMADDPD                   21451                0
 940 VFMADDPS                   24336                0
 941 VFMADDSD                    1573                0
 942 VFMADDSS                    4392                0
 973 VFMSUBSD                      32                0
 983 VFNMADD231PD                8160                0
 984 VFNMADD231PS                8980                0
 987 VFNMADDPD                   5128                0
 988 VFNMADDPS                   6656                0
 989 VFNMADDSD                    147                0
1038 VHADDPD                       65                0
1039 VHADDPS                      129                0
1042 VINSERTF128                   43                0
1047 VINSERTI128                11088                0
1048 VINSERTI32X4                 120                0
1054 VLDMXCSR                      14                0
1059 VMAXPS                         2                0
1072 VMOVAPD                     4705                0
1073 VMOVAPS                      958                0
1074 VMOVD                       1835                0
1075 VMOVDDUP                   25499                0
1076 VMOVDQA                    12730                0
1077 VMOVDQA32                     22                0
1078 VMOVDQA64                      5                0
1079 VMOVDQU                    42801                0
1081 VMOVDQU32                     54                0
1082 VMOVDQU64                      4                0
1083 VMOVDQU8                       1                0
1084 VMOVHLPS                     608                0
1085 VMOVHPD                      492                0
1086 VMOVHPS                     2417                0
1087 VMOVLHPS                      47                0
1088 VMOVLPD                      336                0
1089 VMOVLPS                       28                0
1091 VMOVMSKPS                     24                0
1092 VMOVNTDQ                      16                0
1096 VMOVQ                       6158                0
1097 VMOVSD                     10788                0
1098 VMOVSHDUP                      6                0
1099 VMOVSLDUP                      3                0
1100 VMOVSS                     13757                0
1102 VMOVUPS                    51733                0
1103 VMPSADBW                      10                0
1110 VMULPD                      5040                0
1111 VMULPS                     14191                0
1112 VMULSD                      2331                0
1113 VMULSS                      2320                0
1117 VORPD                         89                0
1118 VORPS                          1                0
1121 VPABSB                       101                0
1122 VPABSD                        85                0
1124 VPABSW                      2541                0
1125 VPACKSSDW                   6063                0
1126 VPACKSSWB                    174                0
1127 VPACKUSDW                   1615                0
1128 VPACKUSWB                   2382                0
1129 VPADDB                       432                0
1130 VPADDD                     41002                0
1131 VPADDQ                       448                0
1132 VPADDSB                       90                0
1133 VPADDSW                       62                0
1134 VPADDUSB                     122                0
1136 VPADDW                      9159                0
1137 VPALIGNR                    2247                0
1138 VPAND                       3977                0
1140 VPANDN                      1911                0
1144 VPAVGB                       420                0
1145 VPAVGW                       480                0
1146 VPBLENDD                       6                0
1151 VPBLENDVB                     16                0
1153 VPBROADCASTB                  22                0
1154 VPBROADCASTD                1278                0
1157 VPBROADCASTQ                 600                0
1158 VPBROADCASTW                 367                0
1163 VPCMPEQB                     253                0
1164 VPCMPEQD                     546                0
1165 VPCMPEQQ                      80                0
1166 VPCMPEQW                     632                0
1169 VPCMPGTB                     354                0
1170 VPCMPGTD                       2                0
1172 VPCMPGTW                     321                0
1184 VPCOMPRESSD                    4                0
1199 VPERM2F128                   192                0
1200 VPERM2I128                   573                0
1202 VPERMD                       424                0
1211 VPERMILPD                    580                0
1212 VPERMILPS                    566                0
1213 VPERMPD                      916                0
1214 VPERMPS                        2                0
1215 VPERMQ                      4077                0
1227 VPEXTRB                        8                0
1228 VPEXTRD                      678                0
1229 VPEXTRQ                       12                0
1230 VPEXTRW                      185                0
1232 VPGATHERDD                   512                0
1239 VPHADDD                     2154                0
1240 VPHADDDQ                      17                0
1243 VPHADDUBQ                      4                0
1246 VPHADDUWD                     42                0
1247 VPHADDUWQ                      2                0
1248 VPHADDW                       86                0
1250 VPHADDWQ                      30                0
1251 VPHMINPOSUW                    1                0
1256 VPHSUBW                        6                0
1258 VPINSRB                       54                0
1259 VPINSRD                      166                0
1261 VPINSRW                      139                0
1266 VPMACSDQL                      4                0
1278 VPMADDUBSW                  6875                0
1279 VPMADDWD                   34535                0
1283 VPMAXSD                        6                0
1285 VPMAXSW                     2202                0
1286 VPMAXUB                        8                0
1291 VPMINSD                       24                0
1293 VPMINSW                     2161                0
1294 VPMINUB                       48                0
1297 VPMINUW                       54                0
1306 VPMOVMSKB                     12                0
1309 VPMOVQD                        6                0
1319 VPMOVSXBW                    102                0
1320 VPMOVSXDQ                      1                0
1321 VPMOVSXWD                     38                0
1333 VPMOVZXBW                   1343                0
1335 VPMOVZXWD                    192                0
1337 VPMULDQ                        8                0
1338 VPMULHRSW                   3704                0
1340 VPMULHW                       16                0
1341 VPMULLD                      143                0
1343 VPMULLW                      222                0
1345 VPMULUDQ                     380                0
1350 VPOR                        2688                0
1351 VPORD                          2                0
1353 VPPERM                        12                0
1366 VPSADBW                     8313                0
1391 VPSHUFB                     9571                0
1393 VPSHUFD                      948                0
1394 VPSHUFHW                      31                0
1395 VPSHUFLW                     597                0
1396 VPSIGNB                       12                0
1397 VPSIGND                       12                0
1398 VPSIGNW                       87                0
1399 VPSLLD                      1354                0
1400 VPSLLDQ                      246                0
1401 VPSLLQ                       219                0
1405 VPSLLW                       805                0
1406 VPSRAD                     11545                0
1411 VPSRAW                       814                0
1412 VPSRLD                      5038                0
1413 VPSRLDQ                     1204                0
1414 VPSRLQ                       439                0
1418 VPSRLW                       365                0
1419 VPSUBB                       261                0
1420 VPSUBD                      1338                0
1421 VPSUBQ                       192                0
1422 VPSUBSB                       20                0
1424 VPSUBUSB                     580                0
1425 VPSUBUSW                      71                0
1426 VPSUBW                      7051                0
1429 VPTEST                         5                0
1438 VPUNPCKHBW                  1890                0
1439 VPUNPCKHDQ                  1571                0
1440 VPUNPCKHQDQ                 1310                0
1441 VPUNPCKHWD                 10217                0
1442 VPUNPCKLBW                  2850                0
1443 VPUNPCKLDQ                  1594                0
1444 VPUNPCKLQDQ                 1663                0
1445 VPUNPCKLWD                 11765                0
1446 VPXOR                      12782                0
1447 VPXORD                         1                0
1503 VSHUFI32X4                     4                0
1505 VSHUFPD                     2366                0
1506 VSHUFPS                     3226                0
1509 VSQRTSD                        2                0
1511 VSTMXCSR                      14                0
1512 VSUBPD                       176                0
1513 VSUBPS                      2572                0
1514 VSUBSD                      1873                0
1518 VUCOMISD                     440                0
1520 VUNPCKHPD                    158                0
1521 VUNPCKHPS                     20                0
1522 VUNPCKLPD                    196                0
1523 VUNPCKLPS                     21                0
1524 VXORPD                      1152                0
1525 VXORPS                       460                0
1526 VZEROALL                    1731                0
1527 VZEROUPPER                  2972                0
1533 WRPKRU                         1                0
1538 XABORT                         6                0
1540 XADD_LOCK                    192                0
1541 XBEGIN                         5                0
1542 XCHG                         357                0
1543 XEND                           2                0
1544 XGETBV                         8                0
1545 XLAT                           1                0
1546 XOR                       457053                0
1547 XORPD                      11629                0
1548 XORPS                      26570                0
3000 *total                  19729344                0
3001 *mem-atomic                 4439                0
3002 *stack-read              2090541              991
3003 *stack-write             2504572                0
3004 *iprel-read               269108               52
3005 *iprel-write               10069                0
3007 *mem-read-1               148403             3327
3008 *mem-read-2                63261               66
3010 *mem-read-4               968455             2316
3014 *mem-read-8              2942347              997
3016 *mem-read-10                1958                0
3022 *mem-read-16              514968                0
3026 *mem-read-20                   8                0
3034 *mem-read-28                  17                0
3038 *mem-read-32               65237                0
3070 *mem-read-64               34626                0
3519 *mem-write-1               78996              347
3520 *mem-write-2               31698                0
3522 *mem-write-4              650686              340
3526 *mem-write-8             2567906             2276
3528 *mem-write-10               1161                0
3534 *mem-write-16             148400                0
3546 *mem-write-28                 18                0
3550 *mem-write-32              11146                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           12                0
   8 ADD                     14731572                0
  11 ADDSD                    2390838                0
  12 ADDSS                     132039                0
  15 ADD_LOCK                     490                0
  23 AND                     13331951                0
  25 ANDNPD                     98306                0
  26 ANDNPS                     65544                0
  27 ANDPD                     262387                0
  28 ANDPS                     131088                0
  55 BSF                      1517536                0
  56 BSR                          542                0
  57 BSWAP                       8862                0
  58 BT                          1278                0
  64 BTS_LOCK                       4                0
  67 CALL_NEAR                4703412                0
  70 CDQE                      641165                0
  73 CLD                            1                0
